id,name,conceptdoi,bib,source_to_language,hhtype,igt,gloss_abbreviations
1,wals,10.5281/zenodo.3606197,1,ValueTable,,1,
2,apics,10.5281/zenodo.7139936,1,ValueTable,,1,glossabbreviations.csv ID Name
3,autotyp,10.5281/zenodo.3899803,1,LanguageTable,,,
4,grambank,10.5281/zenodo.7740139,1,ValueTable,,,
5,dplace,10.5281/zenodo.3935419,1,ValueTable,ethnographic,,
6,pulotu,10.5281/zenodo.5669235',1,ValueTable,ethnographic,,
7,acd,10.5281/zenodo.7737547,1,LanguageTable,,,
8,uratyp,10.5281/zenodo.5236365,1,LanguageTable,,1,
9,elcat,10.5281/zenodo.7871166,1,ValueTable,,,
10,igasttdir,10.5281/zenodo.13602850,1,LanguageTable,,1,
11,jacquesestimative,10.5281/zenodo.13604169,1,LanguageTable,,1,
12,malchukovditransitives,10.5281/zenodo.13604621,,,,1,
13,dictionariadaakaka,10.5281/zenodo.3067380,,,,1,
14,dictionariakalamang,10.5281/zenodo.4297473,,,,1,
15,dictionarianen,10.5281/zenodo.3345804,,,,1,
16,dictionariapalula,10.5281/zenodo.3066951,,,,1,
17,dictionariasidaama,10.5281/zenodo.3338362,,,,1,
