ID,Name,Description,Contributor,Citation,Examples_Count
cldf11,Estimative constructions in crosslinguistic perspective,,"['Jacques, Guillaume']","Jacques, Guillaume. 2024. Estimative constructions in crosslinguistic perspective. Zenodo. doi: 10.5281/zenodo.13604170.",32
cldf12,Ditransitive constructions,,"['Malchukov, Andrej', 'Haspelmath, Martin']","Malchukov, Andrej & Martin Haspelmath. 2024. Ditransitive constructions. Zenodo. doi: 10.5281/zenodo.13604622.",2071
cldf13,dictionaria/daakaka: Daakaka Dictionary,,"['von Prince, Kilu']","Prince, Kilu von. 2021. dictionaria/daakaka: Daakaka Dictionary. Zenodo. doi: 10.5281/zenodo.5526292.",761
cldf14,dictionaria/kalamang: Kalamang dictionary,,"['Visser, Eline']","Visser, Eline. 2021. dictionaria/kalamang: Kalamang dictionary. Zenodo. doi: 10.5281/zenodo.5526419.",102
cldf15,dictionaria/nen: Nen Dictionary,,"['Evans, Nicholas']","Evans, Nicholas. 2021. dictionaria/nen: Nen Dictionary. Zenodo. doi: 10.5281/zenodo.5526459.",0
cldf16,dictionaria/palula: Palula dictionary,,"['Liljegren, Henrik']","Liljegren, Henrik. 2021. dictionaria/palula: Palula dictionary. Zenodo. doi: 10.5281/zenodo.5526477.",1916
cldf17,dictionaria/sidaama: Sidaama dictionary,,"['Yri, Kjell Magne', 'Pepper, Steve']","Yri, Kjell Magne & Steve Pepper. 2021. dictionaria/sidaama: Sidaama dictionary. Zenodo. doi: 10.5281/zenodo.5526518.",1178
glossa4812,Introducing Glossa,,"Rooryck, Johan","Rooryck, Johan. 2016. Introducing Glossa. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.91. Open Library of Humanities.",0
glossa4813,Propping up predicates: Adjectival predication in Tłı̨chǫ Yatıı̀,,"Welch, Nicholas","Welch, Nicholas. 2016. Propping up predicates: Adjectival predication in Tłı̨chǫ Yatıı̀. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.7. Open Library of Humanities.",60
glossa4814,Verb-second word order after German weil ‘because’: Psycholinguistic theory from corpus-linguistic data,,"Kempen, Gerard and Harbusch, Karin","Kempen, Gerard & Karin Harbusch. 2016. Verb-second word order after German weil ‘because’: Psycholinguistic theory from corpus-linguistic data. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.46. Open Library of Humanities.",37
glossa4815,Syntax-phonology mapping and the Tongan DP,,"Ahn, Byron","Ahn, Byron. 2016. Syntax-phonology mapping and the Tongan DP. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.39. Open Library of Humanities.",54
glossa4816,Addressing the “two interface” problem: Comparatives and superlatives,,"Dunbar, Ewan and Wellwood, Alexis","Dunbar, Ewan & Alexis Wellwood. 2016. Addressing the “two interface” problem: Comparatives and superlatives. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.9. Open Library of Humanities.",4
