ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
undefined,Undefined Language,,,,,,,
mand1415,Mandarin Chinese,,40.0209,116.228,mand1415,,538,6.2878585601617845
stan1293,English,,53.0,-1.0,stan1293,,529,6.270988431858299
kenu1236,Kenuzi-Dongola,,21.2837,31.8992,kenu1236,,14,2.6390573296152584
nucl1302,Georgian,,41.850397,43.78613,nucl1302,,102,4.624972813284271
dehu1237,Dehu,,-20.8892,167.229,dehu1237,,5,1.6094379124341003
gude1246,Gude,,10.2138,13.403,gude1246,,9,2.1972245773362196
mang1381,Mangarrayi,,-14.8,133.5,mang1381,,36,3.58351893845611
yaqu1251,Yaqui,,29.9446,-110.681,yaqu1251,,53,3.970291913552122
long1395,Longgu,,-9.75258,160.663,long1395,,3,1.0986122886681098
mupu1234,Mupun,,,,mupu1234,,15,2.70805020110221
mari1440,Maricopa,,33.5123,-111.749,mari1440,,55,4.007333185232471
russ1263,Russian,,59.0,50.0,russ1263,,1052,6.9584483932976555
yima1243,Yimas,,-4.71731,143.572,yima1243,,15,2.70805020110221
chai1252,Chai,,,,chai1252,,2,0.6931471805599453
didi1258,Didinga,,4.21489,33.6869,didi1258,,30,3.4011973816621555
uzbe1247,Uzbek,,,,uzbe1247,,12,2.4849066497880004
apal1257,Apalaí,,1.49792,-54.7457,apal1257,,10,2.302585092994046
ekar1243,Ekari,,-3.88974,136.018,ekar1243,,4,1.3862943611198906
kanj1263,Kanjobal-Jacaltec,,,,kanj1263,,29,3.367295829986474
slav1253,Slave,,,,slav1253,,48,3.871201010907891
cent2140,Central Sierra Miwok,,38.0812,-120.257,cent2140,,2,0.6931471805599453
dagb1246,Dagbani,,9.64745,-0.43227,dagb1246,,7,1.9459101490553132
east2342,Eastern Kayah,,19.8939,98.3359,east2342,,9,2.1972245773362196
siwa1245,Siwai,,-6.6429,155.452,siwa1245,,3,1.0986122886681098
ainu1252,Ainu,,,,ainu1252,,85,4.442651256490317
miya1266,Miya,,10.9234,9.71505,miya1266,,6,1.791759469228055
